salesordernumber,orderdate,year,quarter,month,product,category,subcategory,color,standardcost,region,country,reseller,businesstype,salesperson,quantity,unitprice,sales,totalcost,profit
SO46640,2018-07-16,2018,3,7,"Full-Finger Gloves, M",Clothing,Gloves,Black,15.67,Northeast,United States,Classic Cycle Store,Value Added Reseller,Michael Blythe,6,22.79,136.74,94.02,42.72
SO46655,2018-07-20,2018,3,7,ML Mountain Handlebars,Components,Handlebars,NA,24.99,Northeast,United States,Grand Discount Store,Warehouse,Michael Blythe,6,33.77,202.62,149.94,52.68
SO46655,2018-07-20,2018,3,7,"Mountain-200 Silver, 38",Bikes,Mountain Bikes,Silver,1117.86,Northeast,United States,Grand Discount Store,Warehouse,Michael Blythe,6,1242.85,7457.10,6707.16,749.94
SO46666,2018-07-25,2018,3,7,HL Road Front Wheel,Components,Wheels,Black,146.55,Northeast,United States,Eastside Sporting Goods,Value Added Reseller,Michael Blythe,6,198.04,1188.24,879.30,308.94
SO46666,2018-07-25,2018,3,7,"Men's Bib-Shorts, S",Clothing,Bib-Shorts,Multi,37.12,Northeast,United States,Eastside Sporting Goods,Value Added Reseller,Michael Blythe,6,53.99,323.94,222.72,101.22
SO46666,2018-07-25,2018,3,7,"LL Road Frame - Red, 60",Components,Road Frames,Red,187.16,Northeast,United States,Eastside Sporting Goods,Value Added Reseller,Michael Blythe,6,202.33,1213.98,1122.96,91.02
SO46947,2018-08-05,2018,3,8,"Mountain-300 Black, 44",Bikes,Mountain Bikes,Black,598.44,Northeast,United States,Traditional Department Stores,Value Added Reseller,Michael Blythe,6,647.99,3887.94,3590.64,297.30
SO46947,2018-08-05,2018,3,8,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1105.81,Northeast,United States,Traditional Department Stores,Value Added Reseller,Michael Blythe,6,1229.46,7376.76,6634.86,741.90
SO46948,2018-08-06,2018,3,8,"Women's Tights, S",Clothing,Tights,Black,30.93,Northeast,United States,Retail Sales and Service,Value Added Reseller,Michael Blythe,6,44.99,269.94,185.58,84.36
SO46948,2018-08-06,2018,3,8,"Half-Finger Gloves, M",Clothing,Gloves,Black,9.71,Northeast,United States,Retail Sales and Service,Value Added Reseller,Michael Blythe,6,14.13,84.78,58.26,26.52
SO46948,2018-08-06,2018,3,8,Minipump,Accessories,Pumps,NA,8.25,Northeast,United States,Retail Sales and Service,Value Added Reseller,Michael Blythe,6,11.99,71.94,49.50,22.44
SO46986,2018-08-14,2018,3,8,"Road-650 Black, 52",Bikes,Road Bikes,Black,486.71,Northeast,United States,Riverside Company,Specialty Bike Shop,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO46994,2018-08-16,2018,3,8,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,Silver,1117.86,Northeast,United States,Executive Gift Store,Warehouse,Michael Blythe,6,1242.85,7457.10,6707.16,749.94
SO46994,2018-08-16,2018,3,8,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1105.81,Northeast,United States,Executive Gift Store,Warehouse,Michael Blythe,6,1229.46,7376.76,6634.86,741.90
SO46994,2018-08-16,2018,3,8,HL Fork,Components,Forks,NA,101.89,Northeast,United States,Executive Gift Store,Warehouse,Michael Blythe,6,137.69,826.14,611.34,214.80
SO47001,2018-08-18,2018,3,8,"Road-650 Red, 44",Bikes,Road Bikes,Red,486.71,Northeast,United States,Lease-a-Bike Shop,Warehouse,Michael Blythe,6,234.90,1409.40,2920.26,-1510.86
SO47011,2018-08-21,2018,3,8,"Road-650 Red, 60",Bikes,Road Bikes,Red,486.71,Northeast,United States,Guaranteed Sales and Service,Specialty Bike Shop,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO47021,2018-08-23,2018,3,8,"Sport-100 Helmet, Black",Accessories,Helmets,Black,13.88,Northeast,United States,Mechanical Sports Center,Specialty Bike Shop,Michael Blythe,6,20.19,121.14,83.28,37.86
SO47052,2018-08-27,2018,3,8,"ML Mountain Frame - Black, 38",Components,Mountain Frames,Black,185.82,Northeast,United States,Fitness Sport Boutique,Value Added Reseller,Michael Blythe,6,209.26,1255.56,1114.92,140.64
SO47052,2018-08-27,2018,3,8,ML Mountain Handlebars,Components,Handlebars,NA,24.99,Northeast,United States,Fitness Sport Boutique,Value Added Reseller,Michael Blythe,6,33.77,202.62,149.94,52.68
SO47052,2018-08-27,2018,3,8,"Mountain-200 Silver, 38",Bikes,Mountain Bikes,Silver,1117.86,Northeast,United States,Fitness Sport Boutique,Value Added Reseller,Michael Blythe,6,1242.85,7457.10,6707.16,749.94
SO47052,2018-08-27,2018,3,8,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,29.08,Northeast,United States,Fitness Sport Boutique,Value Added Reseller,Michael Blythe,6,28.84,173.04,174.48,-1.44
SO47052,2018-08-27,2018,3,8,HL Mountain Handlebars,Components,Handlebars,NA,48.55,Northeast,United States,Fitness Sport Boutique,Value Added Reseller,Michael Blythe,6,65.60,393.60,291.30,102.30
SO47052,2018-08-27,2018,3,8,"Half-Finger Gloves, M",Clothing,Gloves,Black,9.71,Northeast,United States,Fitness Sport Boutique,Value Added Reseller,Michael Blythe,6,14.13,84.78,58.26,26.52
SO47052,2018-08-27,2018,3,8,"Men's Bib-Shorts, M",Clothing,Bib-Shorts,Multi,37.12,Northeast,United States,Fitness Sport Boutique,Value Added Reseller,Michael Blythe,6,53.99,323.94,222.72,101.22
SO47055,2018-08-28,2018,3,8,"Men's Sports Shorts, S",Clothing,Shorts,Black,24.75,Northeast,United States,Wheelsets Storehouse,Warehouse,Michael Blythe,6,35.99,215.94,148.50,67.44
SO47055,2018-08-28,2018,3,8,"Road-650 Black, 60",Bikes,Road Bikes,Black,486.71,Northeast,United States,Wheelsets Storehouse,Warehouse,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO47055,2018-08-28,2018,3,8,"ML Road Frame-W - Yellow, 44",Components,Road Frames,Yellow,300.12,Northeast,United States,Wheelsets Storehouse,Warehouse,Michael Blythe,6,324.45,1946.70,1800.72,145.98
SO47351,2018-09-01,2018,3,9,"Women's Tights, L",Clothing,Tights,Black,30.93,Northeast,United States,Painters Bicycle Specialists,Specialty Bike Shop,Michael Blythe,6,44.99,269.94,185.58,84.36
SO47395,2018-09-13,2018,3,9,"Sport-100 Helmet, Black",Accessories,Helmets,Black,13.88,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,20.19,121.14,83.28,37.86
SO47395,2018-09-13,2018,3,9,"Women's Tights, L",Clothing,Tights,Black,30.93,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,44.99,269.94,185.58,84.36
SO47395,2018-09-13,2018,3,9,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,29.08,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,28.84,173.04,174.48,-1.44
SO47395,2018-09-13,2018,3,9,"Men's Bib-Shorts, L",Clothing,Bib-Shorts,Multi,37.12,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,53.99,323.94,222.72,101.22
SO47395,2018-09-13,2018,3,9,"Road-650 Black, 48",Bikes,Road Bikes,Black,486.71,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO47395,2018-09-13,2018,3,9,"Road-650 Red, 52",Bikes,Road Bikes,Red,486.71,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO47395,2018-09-13,2018,3,9,"Men's Bib-Shorts, M",Clothing,Bib-Shorts,Multi,37.12,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,53.99,323.94,222.72,101.22
SO47395,2018-09-13,2018,3,9,"LL Road Frame - Red, 48",Components,Road Frames,Red,187.16,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,202.33,1213.98,1122.96,91.02
SO47395,2018-09-13,2018,3,9,"Men's Sports Shorts, L",Clothing,Shorts,Black,24.75,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,35.99,215.94,148.50,67.44
SO47395,2018-09-13,2018,3,9,"Men's Bib-Shorts, S",Clothing,Bib-Shorts,Multi,37.12,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,53.99,323.94,222.72,101.22
SO47450,2018-09-27,2018,3,9,"ML Road Frame-W - Yellow, 44",Components,Road Frames,Yellow,300.12,Northeast,United States,Larger Cycle Shop,Warehouse,Michael Blythe,6,324.45,1946.70,1800.72,145.98
SO47450,2018-09-27,2018,3,9,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,29.08,Northeast,United States,Larger Cycle Shop,Warehouse,Michael Blythe,6,28.84,173.04,174.48,-1.44
SO47450,2018-09-27,2018,3,9,"Women's Tights, L",Clothing,Tights,Black,30.93,Northeast,United States,Larger Cycle Shop,Warehouse,Michael Blythe,6,44.99,269.94,185.58,84.36
SO47450,2018-09-27,2018,3,9,"Men's Sports Shorts, L",Clothing,Shorts,Black,24.75,Northeast,United States,Larger Cycle Shop,Warehouse,Michael Blythe,6,35.99,215.94,148.50,67.44
SO47450,2018-09-27,2018,3,9,"Road-650 Black, 52",Bikes,Road Bikes,Black,486.71,Northeast,United States,Larger Cycle Shop,Warehouse,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO47450,2018-09-27,2018,3,9,AWC Logo Cap,Clothing,Caps,Multi,5.23,Northeast,United States,Larger Cycle Shop,Warehouse,Michael Blythe,6,5.19,31.14,31.38,-0.24
SO47450,2018-09-27,2018,3,9,"LL Road Frame - Black, 44",Components,Road Frames,Black,170.14,Northeast,United States,Larger Cycle Shop,Warehouse,Michael Blythe,6,183.94,1103.64,1020.84,82.80
SO47450,2018-09-27,2018,3,9,"Sport-100 Helmet, Red",Accessories,Helmets,Red,13.88,Northeast,United States,Larger Cycle Shop,Warehouse,Michael Blythe,6,20.19,121.14,83.28,37.86
SO47450,2018-09-27,2018,3,9,"Women's Tights, M",Clothing,Tights,Black,30.93,Northeast,United States,Larger Cycle Shop,Warehouse,Michael Blythe,6,44.99,269.94,185.58,84.36
SO47664,2018-10-03,2018,4,10,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1105.81,Northeast,United States,Immediate Repair Shop,Value Added Reseller,Michael Blythe,6,1229.46,7376.76,6634.86,741.90
SO47675,2018-10-05,2018,4,10,AWC Logo Cap,Clothing,Caps,Multi,5.23,Northeast,United States,Seventh Bike Store,Value Added Reseller,Michael Blythe,6,5.19,31.14,31.38,-0.24
SO47675,2018-10-05,2018,4,10,"Road-650 Black, 58",Bikes,Road Bikes,Black,486.71,Northeast,United States,Seventh Bike Store,Value Added Reseller,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO47685,2018-10-08,2018,4,10,"ML Mountain Frame - Black, 44",Components,Mountain Frames,Black,185.82,Northeast,United States,Casual Bicycle Store,Value Added Reseller,Michael Blythe,6,209.26,1255.56,1114.92,140.64
SO47685,2018-10-08,2018,4,10,"Sport-100 Helmet, Black",Accessories,Helmets,Black,13.88,Northeast,United States,Casual Bicycle Store,Value Added Reseller,Michael Blythe,6,20.19,121.14,83.28,37.86
SO47706,2018-10-22,2018,4,10,"ML Mountain Frame - Black, 48",Components,Mountain Frames,Black,185.82,Northeast,United States,Grand Discount Store,Warehouse,Michael Blythe,6,209.26,1255.56,1114.92,140.64
SO47718,2018-10-26,2018,4,10,HL Road Handlebars,Components,Handlebars,NA,48.55,Northeast,United States,Eastside Sporting Goods,Value Added Reseller,Michael Blythe,6,65.60,393.60,291.30,102.30
SO47718,2018-10-26,2018,4,10,"Road-550-W Yellow, 40",Bikes,Road Bikes,Yellow,605.65,Northeast,United States,Eastside Sporting Goods,Value Added Reseller,Michael Blythe,6,600.26,3601.56,3633.90,-32.34
SO47718,2018-10-26,2018,4,10,"Road-250 Black, 48",Bikes,Road Bikes,Black,1320.68,Northeast,United States,Eastside Sporting Goods,Value Added Reseller,Michael Blythe,6,1308.94,7853.64,7924.08,-70.44
SO47718,2018-10-26,2018,4,10,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,13.88,Northeast,United States,Eastside Sporting Goods,Value Added Reseller,Michael Blythe,6,20.19,121.14,83.28,37.86
SO47718,2018-10-26,2018,4,10,"LL Road Frame - Red, 48",Components,Road Frames,Red,187.16,Northeast,United States,Eastside Sporting Goods,Value Added Reseller,Michael Blythe,6,202.33,1213.98,1122.96,91.02
SO47718,2018-10-26,2018,4,10,"LL Road Frame - Red, 60",Components,Road Frames,Red,187.16,Northeast,United States,Eastside Sporting Goods,Value Added Reseller,Michael Blythe,6,202.33,1213.98,1122.96,91.02
SO47976,2018-11-03,2018,4,11,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,1105.81,Northeast,United States,Traditional Department Stores,Value Added Reseller,Michael Blythe,6,1229.46,7376.76,6634.86,741.90
SO48002,2018-11-09,2018,4,11,"Road-650 Red, 48",Bikes,Road Bikes,Red,486.71,Northeast,United States,Wholesale Bikes,Specialty Bike Shop,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO48021,2018-11-14,2018,4,11,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1105.81,Northeast,United States,Executive Gift Store,Warehouse,Michael Blythe,6,1229.46,7376.76,6634.86,741.90
SO48021,2018-11-14,2018,4,11,HL Mountain Rear Wheel,Components,Wheels,Black,145.28,Northeast,United States,Executive Gift Store,Warehouse,Michael Blythe,6,196.33,1177.98,871.68,306.30
SO48021,2018-11-14,2018,4,11,HL Fork,Components,Forks,NA,101.89,Northeast,United States,Executive Gift Store,Warehouse,Michael Blythe,6,137.69,826.14,611.34,214.80
SO48026,2018-11-15,2018,4,11,"LL Road Frame - Red, 48",Components,Road Frames,Red,187.16,Northeast,United States,Lease-a-Bike Shop,Warehouse,Michael Blythe,6,202.33,1213.98,1122.96,91.02
SO48026,2018-11-15,2018,4,11,"Road-650 Black, 52",Bikes,Road Bikes,Black,486.71,Northeast,United States,Lease-a-Bike Shop,Warehouse,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO48034,2018-11-16,2018,4,11,"Road-650 Black, 58",Bikes,Road Bikes,Black,486.71,Northeast,United States,Guaranteed Sales and Service,Specialty Bike Shop,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO48034,2018-11-16,2018,4,11,LL Road Rear Wheel,Components,Wheels,Black,49.98,Northeast,United States,Guaranteed Sales and Service,Specialty Bike Shop,Michael Blythe,6,67.54,405.24,299.88,105.36
SO48034,2018-11-16,2018,4,11,"Road-650 Black, 52",Bikes,Road Bikes,Black,486.71,Northeast,United States,Guaranteed Sales and Service,Specialty Bike Shop,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO48076,2018-11-26,2018,4,11,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1105.81,Northeast,United States,Fitness Sport Boutique,Value Added Reseller,Michael Blythe,6,1229.46,7376.76,6634.86,741.90
SO48076,2018-11-26,2018,4,11,ML Mountain Handlebars,Components,Handlebars,NA,24.99,Northeast,United States,Fitness Sport Boutique,Value Added Reseller,Michael Blythe,6,33.77,202.62,149.94,52.68
SO48077,2018-11-27,2018,4,11,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,29.08,Northeast,United States,Wheelsets Storehouse,Warehouse,Michael Blythe,6,28.84,173.04,174.48,-1.44
SO48077,2018-11-27,2018,4,11,"Women's Tights, S",Clothing,Tights,Black,30.93,Northeast,United States,Wheelsets Storehouse,Warehouse,Michael Blythe,6,44.99,269.94,185.58,84.36
SO48290,2018-12-02,2018,4,12,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,29.08,Northeast,United States,Painters Bicycle Specialists,Specialty Bike Shop,Michael Blythe,6,28.84,173.04,174.48,-1.44
SO48336,2018-12-16,2018,4,12,"Road-650 Red, 52",Bikes,Road Bikes,Red,486.71,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO48336,2018-12-16,2018,4,12,"Sport-100 Helmet, Black",Accessories,Helmets,Black,13.88,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,20.19,121.14,83.28,37.86
SO48336,2018-12-16,2018,4,12,"Half-Finger Gloves, M",Clothing,Gloves,Black,9.71,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,14.13,84.78,58.26,26.52
SO48336,2018-12-16,2018,4,12,"Road-650 Red, 62",Bikes,Road Bikes,Red,486.71,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO48336,2018-12-16,2018,4,12,HL Road Front Wheel,Components,Wheels,Black,146.55,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,198.04,1188.24,879.30,308.94
SO48336,2018-12-16,2018,4,12,"ML Road Frame-W - Yellow, 38",Components,Road Frames,Yellow,300.12,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,324.45,1946.70,1800.72,145.98
SO48336,2018-12-16,2018,4,12,"Men's Bib-Shorts, L",Clothing,Bib-Shorts,Multi,37.12,Northeast,United States,Outdoor Equipment Store,Warehouse,Michael Blythe,6,53.99,323.94,222.72,101.22
SO48392,2018-12-29,2018,4,12,"Men's Bib-Shorts, S",Clothing,Bib-Shorts,Multi,37.12,Northeast,United States,Larger Cycle Shop,Warehouse,Michael Blythe,6,53.99,323.94,222.72,101.22
SO48392,2018-12-29,2018,4,12,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,13.88,Northeast,United States,Larger Cycle Shop,Warehouse,Michael Blythe,6,20.19,121.14,83.28,37.86
SO48392,2018-12-29,2018,4,12,"Half-Finger Gloves, S",Clothing,Gloves,Black,9.71,Northeast,United States,Larger Cycle Shop,Warehouse,Michael Blythe,6,14.13,84.78,58.26,26.52
SO48392,2018-12-29,2018,4,12,"LL Road Frame - Black, 52",Components,Road Frames,Black,170.14,Northeast,United States,Larger Cycle Shop,Warehouse,Michael Blythe,6,183.94,1103.64,1020.84,82.80
SO44487,2017-11-03,2017,4,11,"Mountain-100 Black, 38",Bikes,Mountain Bikes,Black,1898.09,Central,United States,Catalog Store,Warehouse,Michael Blythe,6,2024.99,12149.94,11388.54,761.40
SO46346,2018-06-10,2018,2,6,"Mountain Bike Socks, M",Clothing,Socks,White,3.40,Central,United States,Full-Service Bike Store,Specialty Bike Shop,Michael Blythe,6,5.70,34.20,20.40,13.80
SO46662,2018-07-23,2018,3,7,AWC Logo Cap,Clothing,Caps,Multi,5.23,Central,United States,Exhilarating Cycles,Warehouse,Michael Blythe,6,5.19,31.14,31.38,-0.24
SO46662,2018-07-23,2018,3,7,"Road-550-W Yellow, 48",Bikes,Road Bikes,Yellow,605.65,Central,United States,Exhilarating Cycles,Warehouse,Michael Blythe,6,600.26,3601.56,3633.90,-32.34
SO46662,2018-07-23,2018,3,7,"Road-650 Black, 44",Bikes,Road Bikes,Black,486.71,Central,United States,Exhilarating Cycles,Warehouse,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO46662,2018-07-23,2018,3,7,"Men's Bib-Shorts, S",Clothing,Bib-Shorts,Multi,37.12,Central,United States,Exhilarating Cycles,Warehouse,Michael Blythe,6,53.99,323.94,222.72,101.22
SO46662,2018-07-23,2018,3,7,"Half-Finger Gloves, S",Clothing,Gloves,Black,9.71,Central,United States,Exhilarating Cycles,Warehouse,Michael Blythe,6,14.13,84.78,58.26,26.52
SO46931,2018-08-01,2018,3,8,"Mountain-200 Silver, 42",Bikes,Mountain Bikes,Silver,1117.86,Central,United States,Catalog Store,Warehouse,Michael Blythe,6,1242.85,7457.10,6707.16,749.94
SO46931,2018-08-01,2018,3,8,"ML Mountain Frame - Black, 48",Components,Mountain Frames,Black,185.82,Central,United States,Catalog Store,Warehouse,Michael Blythe,6,209.26,1255.56,1114.92,140.64
SO46968,2018-08-09,2018,3,8,"Road-650 Red, 60",Bikes,Road Bikes,Red,486.71,Central,United States,Grand Sport Boutique,Specialty Bike Shop,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO46968,2018-08-09,2018,3,8,"Women's Tights, S",Clothing,Tights,Black,30.93,Central,United States,Grand Sport Boutique,Specialty Bike Shop,Michael Blythe,6,44.99,269.94,185.58,84.36
SO47394,2018-09-12,2018,3,9,Minipump,Accessories,Pumps,NA,8.25,Central,United States,"Fabrikam Inc., West",Value Added Reseller,Michael Blythe,6,11.99,71.94,49.50,22.44
SO47394,2018-09-12,2018,3,9,"Mountain-300 Black, 44",Bikes,Mountain Bikes,Black,598.44,Central,United States,"Fabrikam Inc., West",Value Added Reseller,Michael Blythe,6,647.99,3887.94,3590.64,297.30
SO47394,2018-09-12,2018,3,9,"Mountain-200 Silver, 38",Bikes,Mountain Bikes,Silver,1117.86,Central,United States,"Fabrikam Inc., West",Value Added Reseller,Michael Blythe,6,1242.85,7457.10,6707.16,749.94
SO47394,2018-09-12,2018,3,9,"Full-Finger Gloves, M",Clothing,Gloves,Black,15.67,Central,United States,"Fabrikam Inc., West",Value Added Reseller,Michael Blythe,6,22.79,136.74,94.02,42.72
SO47674,2018-10-05,2018,4,10,"Road-650 Black, 58",Bikes,Road Bikes,Black,486.71,Central,United States,Friendly Bike Shop,Specialty Bike Shop,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO47714,2018-10-25,2018,4,10,"Women's Tights, S",Clothing,Tights,Black,30.93,Central,United States,Small Cycle Store,Specialty Bike Shop,Michael Blythe,6,44.99,269.94,185.58,84.36
SO47716,2018-10-26,2018,4,10,"Road-650 Red, 44",Bikes,Road Bikes,Red,486.71,Central,United States,Exhilarating Cycles,Warehouse,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO47962,2018-11-01,2018,4,11,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,1105.81,Central,United States,Catalog Store,Warehouse,Michael Blythe,6,1229.46,7376.76,6634.86,741.90
SO47962,2018-11-01,2018,4,11,HL Fork,Components,Forks,NA,101.89,Central,United States,Catalog Store,Warehouse,Michael Blythe,6,137.69,826.14,611.34,214.80
SO47962,2018-11-01,2018,4,11,HL Mountain Rear Wheel,Components,Wheels,Black,145.28,Central,United States,Catalog Store,Warehouse,Michael Blythe,6,196.33,1177.98,871.68,306.30
SO47987,2018-11-05,2018,4,11,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,29.08,Central,United States,Field Trip Inc,Specialty Bike Shop,Michael Blythe,6,28.84,173.04,174.48,-1.44
SO47995,2018-11-08,2018,4,11,"Road-650 Red, 48",Bikes,Road Bikes,Red,486.71,Central,United States,Grand Sport Boutique,Specialty Bike Shop,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO47995,2018-11-08,2018,4,11,"Women's Tights, S",Clothing,Tights,Black,30.93,Central,United States,Grand Sport Boutique,Specialty Bike Shop,Michael Blythe,6,44.99,269.94,185.58,84.36
SO48333,2018-12-15,2018,4,12,"Mountain-300 Black, 38",Bikes,Mountain Bikes,Black,598.44,Central,United States,"Fabrikam Inc., West",Value Added Reseller,Michael Blythe,6,647.99,3887.94,3590.64,297.30
SO48735,2019-01-05,2019,1,1,"Road-550-W Yellow, 44",Bikes,Road Bikes,Yellow,605.65,Central,United States,First Bike Store,Value Added Reseller,Michael Blythe,6,600.26,3601.56,3633.90,-32.34
SO48735,2019-01-05,2019,1,1,"Road-550-W Yellow, 42",Bikes,Road Bikes,Yellow,605.65,Central,United States,First Bike Store,Value Added Reseller,Michael Blythe,6,600.26,3601.56,3633.90,-32.34
SO48735,2019-01-05,2019,1,1,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,13.88,Central,United States,First Bike Store,Value Added Reseller,Michael Blythe,6,20.19,121.14,83.28,37.86
SO49465,2019-03-06,2019,1,3,"Women's Tights, L",Clothing,Tights,Black,30.93,Central,United States,Riders Company,Value Added Reseller,Michael Blythe,6,44.99,269.94,185.58,84.36
SO49499,2019-03-17,2019,1,3,"Full-Finger Gloves, M",Clothing,Gloves,Black,15.67,Central,United States,World of Bikes,Value Added Reseller,Michael Blythe,6,22.79,136.74,94.02,42.72
SO49499,2019-03-17,2019,1,3,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,1105.81,Central,United States,World of Bikes,Value Added Reseller,Michael Blythe,6,1229.46,7376.76,6634.86,741.90
SO49823,2019-04-01,2019,2,4,AWC Logo Cap,Clothing,Caps,Multi,5.23,Central,United States,Gift and Toy Store,Specialty Bike Shop,Michael Blythe,6,5.19,31.14,31.38,-0.24
SO49837,2019-04-07,2019,2,4,"Road-250 Black, 58",Bikes,Road Bikes,Black,1320.68,Central,United States,First Bike Store,Value Added Reseller,Michael Blythe,6,1308.94,7853.64,7924.08,-70.44
SO49837,2019-04-07,2019,2,4,"Road-250 Black, 52",Bikes,Road Bikes,Black,1320.68,Central,United States,First Bike Store,Value Added Reseller,Michael Blythe,6,1308.94,7853.64,7924.08,-70.44
SO49837,2019-04-07,2019,2,4,"Road-650 Red, 62",Bikes,Road Bikes,Red,486.71,Central,United States,First Bike Store,Value Added Reseller,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO49837,2019-04-07,2019,2,4,"Road-550-W Yellow, 42",Bikes,Road Bikes,Yellow,605.65,Central,United States,First Bike Store,Value Added Reseller,Michael Blythe,6,600.26,3601.56,3633.90,-32.34
SO49837,2019-04-07,2019,2,4,"Road-550-W Yellow, 44",Bikes,Road Bikes,Yellow,605.65,Central,United States,First Bike Store,Value Added Reseller,Michael Blythe,6,600.26,3601.56,3633.90,-32.34
SO49837,2019-04-07,2019,2,4,"LL Road Frame - Black, 52",Components,Road Frames,Black,170.14,Central,United States,First Bike Store,Value Added Reseller,Michael Blythe,6,183.94,1103.64,1020.84,82.80
SO50219,2019-05-08,2019,2,5,AWC Logo Cap,Clothing,Caps,Multi,5.23,Central,United States,Orange Bicycle Company,Specialty Bike Shop,Michael Blythe,6,5.19,31.14,31.38,-0.24
SO50705,2019-06-15,2019,2,6,"Road-650 Red, 62",Bikes,Road Bikes,Red,486.71,Central,United States,Local Hardware Factory,Specialty Bike Shop,Michael Blythe,6,469.79,2818.74,2920.26,-101.52
SO50712,2019-06-17,2019,2,6,"Women's Tights, L",Clothing,Tights,Black,30.93,Central,United States,Good Bike Shop,Value Added Reseller,Michael Blythe,6,44.99,269.94,185.58,84.36
SO50712,2019-06-17,2019,2,6,"Men's Sports Shorts, M",Clothing,Shorts,Black,24.75,Central,United States,Good Bike Shop,Value Added Reseller,Michael Blythe,6,35.99,215.94,148.50,67.44
SO50751,2019-06-27,2019,2,6,AWC Logo Cap,Clothing,Caps,Multi,5.23,Central,United States,Responsible Bike Dealers,Specialty Bike Shop,Michael Blythe,6,5.19,31.14,31.38,-0.24
SO51085,2019-07-02,2019,3,7,"Racing Socks, M",Clothing,Socks,White,3.36,Central,United States,Gift and Toy Store,Specialty Bike Shop,Michael Blythe,6,5.39,32.34,20.16,12.18
SO51085,2019-07-02,2019,3,7,"Short-Sleeve Classic Jersey, XL",Clothing,Jerseys,Yellow,41.57,Central,United States,Gift and Toy Store,Specialty Bike Shop,Michael Blythe,6,32.39,194.34,249.42,-55.08
SO51105,2019-07-10,2019,3,7,"Road-550-W Yellow, 42",Bikes,Road Bikes,Yellow,713.08,Central,United States,First Bike Store,Value Added Reseller,Michael Blythe,6,672.29,4033.74,4278.48,-244.74
SO51105,2019-07-10,2019,3,7,HL Road Handlebars,Components,Handlebars,NA,53.40,Central,United States,First Bike Store,Value Added Reseller,Michael Blythe,6,72.16,432.96,320.40,112.56
